T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.608233,0.6087495,5.744401,0.060947,12.47261,0.001235305,1.606998,1.884254e-06,0.6087476,0.6165528,0.0,0.1236807,0.9904449,0.6087476,1.752007,1.627021,0.7492801
25.0,0.8371731,0.2765858,6.839616,0.1021578,12.47261,0.002070588,0.8351025,3.158349e-06,0.2765826,0.3850969,0.0,0.05619395,0.4500056,0.2765826,0.7960192,1.627021,0.3404332
25.0,1.782582,0.5882476,4.22576,0.030834,12.47261,0.000624959,1.781957,9.532717e-07,0.5882466,0.8248677,0.0,0.1195155,0.9570894,0.5882466,1.693004,1.627021,0.7240464
25.0,1.292768,0.3827265,5.421487,0.06591928,12.47261,0.001336087,1.291432,2.037995e-06,0.3827245,0.6687313,0.0,0.07775903,0.6227006,0.3827245,1.101501,1.627021,0.4710784
25.0,1.750385,0.2850056,6.609894,0.08132564,12.47261,0.001648383,1.748737,2.514292e-06,0.2850031,1.285031,0.0,0.05790475,0.4637059,0.2850031,0.8202537,1.627021,0.3507975
25.0,0.5337755,0.2610362,4.227067,0.06080475,12.47261,0.001232422,0.5325431,1.879849e-06,0.2610343,0.1078349,0.0,0.05303496,0.4247082,0.2610343,0.7512703,1.627021,0.3212954
25.0,1.686415,0.4773002,7.99181,0.1030943,12.47261,0.002089568,1.684325,3.187299e-06,0.477297,0.9077534,0.0,0.09697356,0.776572,0.477297,1.373686,1.627021,0.5874835
25.0,1.325192,0.3675084,6.996405,0.09412131,12.47261,0.00190769,1.323284,2.909885e-06,0.3675055,0.7253453,0.0,0.07466696,0.597939,0.3675055,1.0577,1.627021,0.452346
25.0,1.572362,0.5647833,3.547299,0.0229075,12.47261,0.0004643005,1.571898,7.082163e-07,0.5647826,0.6529848,0.0,0.1147482,0.9189129,0.5647826,1.625474,1.627021,0.6951655
25.0,1.334289,0.6313247,8.152513,0.1088762,12.47261,0.002206758,1.332082,3.366024e-06,0.6313213,0.3049095,0.0,0.128267,1.027173,0.6313213,1.816976,1.627021,0.7770651
25.0,0.9495803,0.2265676,7.975063,0.1217645,12.47261,0.002467973,0.9471123,3.764512e-06,0.2265638,0.5784883,0.0,0.04603151,0.368624,0.2265638,0.6520625,1.627021,0.2788673
25.0,1.587098,0.4966504,3.046409,0.01513446,12.47261,0.0003067525,1.586791,4.679032e-07,0.4966499,0.7787316,0.0,0.1009055,0.8080596,0.4966499,1.429384,1.62702,0.6113041
25.0,0.9330303,0.5535469,7.655024,0.1088955,12.47261,0.002207151,0.9308231,3.366673e-06,0.5535435,0.03019645,0.0,0.1124647,0.9006267,0.5535435,1.593127,1.627021,0.6813319
25.0,1.73144,0.486967,4.713199,0.04284939,12.47261,0.0008684932,1.730572,1.324747e-06,0.4869657,0.9382683,0.0,0.09893796,0.7923032,0.4869657,1.401513,1.627021,0.5993842
25.0,1.708879,0.221999,6.252076,0.07703647,12.47261,0.001561414,1.707318,2.381688e-06,0.2219966,1.346125,0.0,0.04510358,0.3611931,0.2219966,0.6389178,1.627021,0.2732457
25.0,1.765883,0.3568007,7.262302,0.09120637,12.47261,0.001848618,1.764034,2.819742e-06,0.3567979,1.183517,0.0,0.07249146,0.5805175,0.3567979,1.026883,1.627021,0.4391665
25.0,1.769858,0.673758,3.627814,0.01833257,12.47261,0.0003715734,1.769486,5.66776e-07,0.6737574,0.6732693,0.0,0.1368889,1.096217,0.6737574,1.939109,1.62702,0.8292978
25.0,0.6346317,0.3354208,4.827102,0.0681395,12.47261,0.001381086,0.6332506,2.106618e-06,0.3354187,0.08751751,0.0,0.0681478,0.5457331,0.3354187,0.9653524,1.627021,0.4128518
25.0,1.60122,0.3355841,6.76846,0.08574062,12.47261,0.001737834,1.599482,2.650779e-06,0.3355814,1.053484,0.0,0.06818087,0.5459979,0.3355814,0.9658209,1.627021,0.4130522
25.0,0.7343886,0.2386921,4.071031,0.05486834,12.47261,0.001112099,0.7332765,1.696337e-06,0.2386904,0.3449223,0.0,0.04849529,0.3883542,0.2386904,0.6869634,1.627021,0.2937933
25.0,1.044402,0.2374861,5.691607,0.07856499,12.47261,0.001592393,1.04281,2.428946e-06,0.2374837,0.6564188,0.0,0.04825012,0.3863908,0.2374837,0.6834903,1.627021,0.292308
25.0,1.55496,0.6473641,3.162309,0.01440283,12.47261,0.0002919236,1.554668,4.452833e-07,0.6473637,0.5013942,0.0,0.1315264,1.053274,0.6473637,1.863146,1.62702,0.7968108
25.0,1.324387,0.5365404,4.618555,0.04737158,12.47261,0.0009601512,1.323427,1.464557e-06,0.5365389,0.450467,0.0,0.1090099,0.8729599,0.5365389,1.544187,1.627021,0.6604017
25.0,1.569806,0.4190299,8.148588,0.1093484,12.47261,0.002216339,1.56759,3.380651e-06,0.4190265,0.8858249,0.0,0.08513461,0.6817648,0.4190265,1.20598,1.627021,0.515761
25.0,1.267753,0.6342444,6.301201,0.07657627,12.47261,0.001552087,1.266201,2.367461e-06,0.634242,0.2342761,0.0,0.1288604,1.031925,0.634242,1.825382,1.627021,0.7806601
25.0,0.6881337,0.3075805,5.502492,0.08000013,12.47261,0.001621484,0.6865122,2.473307e-06,0.307578,0.1860764,0.0,0.06249135,0.5004358,0.307578,0.8852255,1.627021,0.378584
25.0,1.408466,0.4173947,5.218335,0.05937739,12.47261,0.001203495,1.407263,1.83575e-06,0.4173929,0.7281557,0.0,0.08480269,0.6791068,0.4173929,1.201278,1.627021,0.5137502
25.0,0.6877715,0.2069327,6.335378,0.09732304,12.47261,0.001972595,0.6857989,3.008885e-06,0.2069297,0.34912,0.0,0.04204239,0.3366789,0.2069297,0.5955544,1.627021,0.2547005
25.0,1.780776,0.3908681,6.078068,0.06877984,12.47261,0.001394036,1.779382,2.126418e-06,0.390866,1.143435,0.0,0.07941316,0.635947,0.390866,1.124933,1.627021,0.4810994
25.0,1.534874,0.3198523,3.352613,0.02560246,12.47261,0.0005189233,1.534355,7.915354e-07,0.3198515,1.01395,0.0,0.06498498,0.520405,0.3198515,0.9205492,1.627021,0.3936909
25.0,1.668013,0.3937808,6.652475,0.08112465,12.47261,0.001644242,1.666369,2.508074e-06,0.3937783,1.025683,0.0,0.08000486,0.6406854,0.3937783,1.133314,1.627021,0.484684
25.0,1.54515,0.6800862,6.36211,0.07163064,12.47261,0.001451846,1.543698,2.214556e-06,0.680084,0.4371875,0.0,0.1381743,1.106511,0.680084,1.957317,1.627021,0.8370849
25.0,1.466964,0.5302966,3.715626,0.02863032,12.47261,0.0005802935,1.466384,8.851457e-07,0.5302957,0.6035817,0.0,0.1077414,0.862802,0.5302957,1.526219,1.627021,0.6527172
25.0,1.444692,0.2232816,7.144307,0.09789297,12.47261,0.001984137,1.442708,3.026501e-06,0.2232786,1.079429,0.0,0.04536403,0.3632788,0.2232786,0.6426073,1.62702,0.2748235
25.0,1.465117,0.2665086,3.776965,0.03573156,12.47261,0.0007242314,1.464393,1.104684e-06,0.2665075,1.03078,0.0,0.05414695,0.4336132,0.2665075,0.7670224,1.627021,0.3280321
25.0,1.53697,0.5491916,6.710553,0.08102889,12.47261,0.001642336,1.535328,2.505135e-06,0.5491891,0.6417857,0.0,0.11158,0.8935419,0.5491891,1.580595,1.627021,0.6759722
25.0,1.796523,0.212201,8.263469,0.1120017,12.47261,0.002270146,1.794253,3.462685e-06,0.2121975,1.449003,0.0,0.04311267,0.3452498,0.2121975,0.6107156,1.627021,0.2611844
25.0,1.640703,0.5248665,5.335576,0.05487227,12.47261,0.001112179,1.639591,1.696451e-06,0.5248648,0.785625,0.0,0.106638,0.8539658,0.5248648,1.510588,1.627021,0.6460325
25.0,0.5812728,0.3406515,5.261738,0.07683473,12.47261,0.001557326,0.5797155,2.375481e-06,0.3406491,0.02547235,0.0,0.06921048,0.5542431,0.3406491,0.9804059,1.627021,0.4192897
25.0,1.610703,0.6110167,5.139019,0.04991767,12.47261,0.001011757,1.609691,1.543269e-06,0.6110152,0.615557,0.0,0.1241414,0.9941342,0.6110152,1.758533,1.627021,0.7520711
25.0,1.574381,0.2978642,3.877406,0.03486376,12.47261,0.0007066361,1.573674,1.077866e-06,0.2978631,1.089045,0.0,0.06051755,0.4846294,0.2978631,0.8572655,1.627021,0.3666263
25.0,1.043207,0.3494962,4.514708,0.05480042,12.47261,0.001110723,1.042096,1.694221e-06,0.3494945,0.4734615,0.0,0.07100762,0.5686347,0.3494945,1.005863,1.627021,0.4301771
25.0,1.374228,0.4024055,4.585307,0.04890163,12.47261,0.0009911634,1.373237,1.511856e-06,0.402404,0.7185173,0.0,0.08175736,0.6547196,0.402404,1.15814,1.627021,0.495301
25.0,1.585245,0.5611134,4.239395,0.03525734,12.47261,0.0007146135,1.58453,1.090028e-06,0.5611123,0.6715891,0.0,0.1140025,0.9129412,0.5611123,1.61491,1.627021,0.690648
25.0,1.056127,0.3477746,7.536791,0.1091863,12.47261,0.002213031,1.053914,3.375641e-06,0.3477712,0.4880831,0.0,0.07065749,0.5658309,0.3477712,1.000904,1.62702,0.428056
25.0,1.73356,0.2399914,2.911386,0.01584971,12.47261,0.0003212496,1.733239,4.900163e-07,0.2399909,1.342769,0.0,0.04875952,0.3904701,0.2399909,0.6907063,1.62702,0.295394
25.0,1.525359,0.5378608,8.091881,0.106442,12.47261,0.002157419,1.523202,3.2906e-06,0.5378575,0.6480964,0.0,0.1092778,0.8751052,0.5378575,1.547982,1.627021,0.6620247
25.0,0.7779883,0.4749797,7.850036,0.1169928,12.47261,0.002371278,0.775617,3.616989e-06,0.4749761,0.002820651,0.0,0.09650205,0.7727964,0.4749761,1.367007,1.627022,0.5846271
25.0,1.739437,0.6218867,7.976856,0.09859979,12.47261,0.001998453,1.737439,3.048066e-06,0.6218837,0.725621,0.0,0.1263496,1.011818,0.6218837,1.789813,1.627021,0.7654487
25.0,0.8514437,0.4860501,3.567288,0.03806757,12.47261,0.0007715728,0.8506721,1.176914e-06,0.4860489,0.05986055,0.0,0.0987517,0.7908116,0.4860489,1.398874,1.627021,0.5982558
